mes_disp,uf,enquadramento,sum,count
202007,RN,EXTRACAD,298426200.0,454937
202007,RO,BOLSA FAMILIA,90844800.0,113892
202007,RO,CADUNICO,80348400.0,121194
202007,RO,EXTRACAD,205879800.0,306898
202007,RR,BOLSA FAMILIA,55911600.0,71322
202007,RR,CADUNICO,24767400.0,35521
202007,RR,EXTRACAD,70994400.0,104774
202007,RS,BOLSA FAMILIA,361975800.0,435379
202007,RS,CADUNICO,240021000.0,351396
202007,RS,EXTRACAD,1081810200.0,1618657
202007,SC,BOLSA FAMILIA,121837800.0,152302
202007,SC,CADUNICO,117154800.0,172171
202007,SC,EXTRACAD,745438200.0,1111192
202007,SE,BOLSA FAMILIA,302658600.0,382873
202007,SE,CADUNICO,89810400.0,134898
202007,SE,EXTRACAD,187918200.0,290891
202007,SP,BOLSA FAMILIA,1610820000.0,1931161
202007,SP,CADUNICO,1210102200.0,1761778
202007,SP,EXTRACAD,4952700600.0,7525076
202007,TO,BOLSA FAMILIA,127591200.0,164328
202007,TO,CADUNICO,77339400.0,118475
202007,TO,EXTRACAD,133771200.0,205205
202008,AC,BOLSA FAMILIA,99909600.0,133045
202008,AC,CADUNICO,18864000.0,28062
202008,AC,EXTRACAD,69784200.0,106926
202008,AL,BOLSA FAMILIA,431767800.0,540356
202008,AL,CADUNICO,82594800.0,123581
202008,AL,EXTRACAD,238027200.0,365482
202008,AM,BOLSA FAMILIA,450745200.0,565576
202008,AM,CADUNICO,95312400.0,138672
202008,AM,EXTRACAD,378625200.0,572485
202008,AP,BOLSA FAMILIA,88419000.0,102238
202008,AP,CADUNICO,25391400.0,35226
202008,AP,EXTRACAD,83184600.0,124855
202008,BA,BOLSA FAMILIA,1924410000.0,2504370
202008,BA,CADUNICO,426321600.0,646567
202008,BA,EXTRACAD,1066597800.0,1653002
202008,CE,BOLSA FAMILIA,1174702200.0,1545379
202008,CE,CADUNICO,276274200.0,424409
202008,CE,EXTRACAD,599857800.0,931625
202008,DF,BOLSA FAMILIA,87798600.0,100330
202008,DF,CADUNICO,31052400.0,43763
202008,DF,EXTRACAD,311707200.0,463284
202008,ES,BOLSA FAMILIA,204889200.0,260481
202008,ES,CADUNICO,104640600.0,159971
202008,ES,EXTRACAD,390678000.0,598079
202008,GO,BOLSA FAMILIA,317112000.0,370928
202008,GO,CADUNICO,183141600.0,269515
202008,GO,EXTRACAD,749986800.0,1135582
202008,MA,BOLSA FAMILIA,998717400.0,1252474
202008,MA,CADUNICO,175954800.0,264898
202008,MA,EXTRACAD,463809600.0,728526
202008,MG,BOLSA FAMILIA,1097656800.0,1403951
202008,MG,CADUNICO,528922800.0,805108
202008,MG,EXTRACAD,1811054400.0,2796408
202008,MS,BOLSA FAMILIA,130668600.0,155995
202008,MS,CADUNICO,93505200.0,138896
202008,MS,EXTRACAD,246090600.0,368736
202008,MT,BOLSA FAMILIA,164104800.0,191431
202008,MT,CADUNICO,114582600.0,169298
202008,MT,EXTRACAD,345592200.0,514901
202008,PA,BOLSA FAMILIA,1055632800.0,1325512
202008,PA,CADUNICO,269736600.0,401782
202008,PA,EXTRACAD,686817000.0,1056758
202008,PB,BOLSA FAMILIA,541562400.0,712334
202008,PB,CADUNICO,95748000.0,146003
202008,PB,EXTRACAD,260230800.0,407156
202008,PE,BOLSA FAMILIA,1221394800.0,1533288
202008,PE,CADUNICO,274220400.0,412290
202008,PE,EXTRACAD,681550200.0,1054245
202008,PI,BOLSA FAMILIA,479277600.0,636163
202008,PI,CADUNICO,86888400.0,132713
202008,PI,EXTRACAD,223255200.0,348695
202008,PR,BOLSA FAMILIA,379972200.0,479706
202008,PR,CADUNICO,306979800.0,462361
202008,PR,EXTRACAD,1010568600.0,1541387
202008,RJ,BOLSA FAMILIA,979500000.0,1153874
202008,RJ,CADUNICO,301766400.0,436067
202008,RJ,EXTRACAD,1878740980.0,2848739
202008,RN,BOLSA FAMILIA,391543200.0,511771
202008,RN,CADUNICO,100134000.0,154137
202008,RN,EXTRACAD,251818800.0,383903
202008,RO,BOLSA FAMILIA,89239800.0,111222
202008,RO,CADUNICO,61338600.0,92567
202008,RO,EXTRACAD,181540800.0,271098
202008,RR,BOLSA FAMILIA,53298000.0,67406
202008,RR,CADUNICO,19686000.0,28307
202008,RR,EXTRACAD,64555200.0,95635
202008,RS,BOLSA FAMILIA,373179600.0,449375
202008,RS,CADUNICO,188119800.0,276550
202008,RS,EXTRACAD,959350200.0,1435395
202008,SC,BOLSA FAMILIA,123360600.0,153945
202008,SC,CADUNICO,89007600.0,130911
202008,SC,EXTRACAD,667146600.0,995296
202008,SE,BOLSA FAMILIA,297532200.0,374404
202008,SE,CADUNICO,66653400.0,100087
202008,SE,EXTRACAD,156782400.0,242569
202008,SP,BOLSA FAMILIA,1601157000.0,1911456
202008,SP,CADUNICO,905803800.0,1318791
202008,SP,EXTRACAD,4346784000.0,6603665
202008,TO,BOLSA FAMILIA,124249200.0,158855
202008,TO,CADUNICO,59650200.0,91394
202008,TO,EXTRACAD,116269200.0,178473
202009,AC,BOLSA FAMILIA,24825887.0,111318
202009,AC,CADUNICO,22441800.0,34558
202009,AC,EXTRACAD,86050500.0,134709
202009,AL,BOLSA FAMILIA,127452786.0,477682
202009,AL,CADUNICO,97080000.0,151144
202009,AL,EXTRACAD,289814100.0,455809
202009,AM,BOLSA FAMILIA,126329704.0,485992
202009,AM,CADUNICO,112297800.0,169740
202009,AM,EXTRACAD,467126100.0,722223
202009,AP,BOLSA FAMILIA,24392359.0,85680
202009,AP,CADUNICO,30177000.0,43426
202009,AP,EXTRACAD,102173400.0,157232
202009,BA,BOLSA FAMILIA,582246835.0,2254972
202009,BA,CADUNICO,520605000.0,821067
202009,BA,EXTRACAD,1333019100.0,2117648
202009,CE,BOLSA FAMILIA,359977727.0,1407733
202009,CE,CADUNICO,340215000.0,543722
202009,CE,EXTRACAD,753296400.0,1199163
202009,DF,BOLSA FAMILIA,27258145.0,85586
202009,DF,CADUNICO,36759600.0,53732
202009,DF,EXTRACAD,385368000.0,585460
202009,ES,BOLSA FAMILIA,63389844.0,230026
202009,ES,CADUNICO,127717200.0,202849
202009,ES,EXTRACAD,490708800.0,766605
202009,GO,BOLSA FAMILIA,102806218.0,324464
202009,GO,CADUNICO,216018900.0,329293
202009,GO,EXTRACAD,923232300.0,1425461
202009,MA,BOLSA FAMILIA,286264019.0,1091867
202009,MA,CADUNICO,205806600.0,322619
202009,MA,EXTRACAD,552736800.0,891640
202009,MG,BOLSA FAMILIA,332450948.0,1230876
202009,MG,CADUNICO,631359000.0,996922
202009,MG,EXTRACAD,2244605526.0,3539534
202009,MS,BOLSA FAMILIA,40588199.0,134332
202009,MS,CADUNICO,110747700.0,170587
202009,MS,EXTRACAD,306740400.0,469195
202009,MT,BOLSA FAMILIA,52120158.0,165521
202009,MT,CADUNICO,136461900.0,209001
202009,MT,EXTRACAD,429061200.0,651808
202009,PA,BOLSA FAMILIA,314016462.0,1164708
202009,PA,CADUNICO,311845200.0,482491
202009,PA,EXTRACAD,831172200.0,1309896
202009,PB,BOLSA FAMILIA,159605982.0,647960
202009,PB,CADUNICO,118378200.0,187651
202009,PB,EXTRACAD,327413200.0,524834
202009,PE,BOLSA FAMILIA,384149674.0,1393776
202009,PE,CADUNICO,348982800.0,545898
202009,PE,EXTRACAD,895468980.0,1421465
202009,PI,BOLSA FAMILIA,137235010.0,573942
202009,PI,CADUNICO,103278900.0,164602
202009,PI,EXTRACAD,274134000.0,439522
202009,PR,BOLSA FAMILIA,121002656.0,422286
202009,PR,CADUNICO,370386300.0,579618
202009,PR,EXTRACAD,1262431140.0,1964342
202009,RJ,BOLSA FAMILIA,295666796.0,1004898
202009,RJ,CADUNICO,364122600.0,545971
202009,RJ,EXTRACAD,2350786160.0,3645191
202009,RN,BOLSA FAMILIA,120048046.0,463681
202009,RN,CADUNICO,123191700.0,196871
202009,RN,EXTRACAD,314668500.0,491076
202009,RO,BOLSA FAMILIA,30019610.0,100715
202009,RO,CADUNICO,72789300.0,114013
202009,RO,EXTRACAD,223932900.0,341124
202009,RR,BOLSA FAMILIA,15032201.0,56908
202009,RR,CADUNICO,22355400.0,33316
202009,RR,EXTRACAD,78311400.0,118222
202009,RS,BOLSA FAMILIA,129897107.0,396088
202009,RS,CADUNICO,242431800.0,370902
202009,RS,EXTRACAD,1253401250.0,1926260
202009,SC,BOLSA FAMILIA,39731934.0,132060
202009,SC,CADUNICO,109894500.0,167981
202009,SC,EXTRACAD,845184680.0,1289253
202009,SE,BOLSA FAMILIA,93411250.0,337504
202009,SE,CADUNICO,81200400.0,126770
202009,SE,EXTRACAD,194634600.0,308474
202009,SP,BOLSA FAMILIA,497858118.0,1661250
202009,SP,CADUNICO,1106413200.0,1673040
202009,SP,EXTRACAD,5470781700.0,8485426
202009,TO,BOLSA FAMILIA,37518747.0,140417
202009,TO,CADUNICO,69610800.0,110496
202009,TO,EXTRACAD,141480300.0,221782
202010,AC,BOLSA FAMILIA,23889390.0,109432
202010,AC,CADUNICO,10010100.0,29577
202010,AC,EXTRACAD,55470900.0,119605
202010,AL,BOLSA FAMILIA,124965279.0,471668
202010,AL,CADUNICO,43890900.0,130850
202010,AL,EXTRACAD,183451771.0,406181
202010,AM,BOLSA FAMILIA,121190415.0,478585
202010,AM,CADUNICO,50051400.0,144531
202010,AM,EXTRACAD,304962900.0,640685
202010,AP,BOLSA FAMILIA,23572649.0,83970
202010,AP,CADUNICO,13393800.0,36791
202010,AP,EXTRACAD,64545900.0,139286
202010,BA,BOLSA FAMILIA,571180782.0,2229402
202010,BA,CADUNICO,234508800.0,708559
202010,BA,EXTRACAD,849380600.0,1898455
202010,CE,BOLSA FAMILIA,354931895.0,1394254
202010,CE,CADUNICO,154300800.0,472049
202010,CE,EXTRACAD,479845500.0,1076303
202010,DF,BOLSA FAMILIA,26268870.0,84247
202010,DF,CADUNICO,15936300.0,44408
202010,DF,EXTRACAD,251104200.0,516691
202010,ES,BOLSA FAMILIA,61966699.0,226841
202010,ES,CADUNICO,56666400.0,172568
202010,ES,EXTRACAD,329271900.0,682958
202010,GO,BOLSA FAMILIA,99405896.0,318948
202010,GO,CADUNICO,95101800.0,277649
202010,GO,EXTRACAD,607779900.0,1258080
202010,MA,BOLSA FAMILIA,277027833.0,1071941
202010,MA,CADUNICO,92192100.0,276174
202010,MA,EXTRACAD,341653500.0,785161
202010,MG,BOLSA FAMILIA,322904919.0,1211133
202010,MG,CADUNICO,276643200.0,837600
202010,MG,EXTRACAD,1478909800.0,3130272
202010,MS,BOLSA FAMILIA,38683321.0,131544
202010,MS,CADUNICO,47807700.0,140973
202010,MS,EXTRACAD,201128100.0,410686
202010,MT,BOLSA FAMILIA,50251906.0,162292
202010,MT,CADUNICO,59186400.0,174136
202010,MT,EXTRACAD,278708700.0,568863
202010,PA,BOLSA FAMILIA,304151653.0,1138805
202010,PA,CADUNICO,138984300.0,411844
202010,PA,EXTRACAD,524314500.0,1156254
202010,PB,BOLSA FAMILIA,156478123.0,638845
202010,PB,CADUNICO,53855700.0,163480
202010,PB,EXTRACAD,208186500.0,468445
202010,PE,BOLSA FAMILIA,377612522.0,1378598
202010,PE,CADUNICO,152822100.0,457659
202010,PE,EXTRACAD,550952400.0,1227342
202010,PI,BOLSA FAMILIA,134353976.0,567611
202010,PI,CADUNICO,46184100.0,140606
202010,PI,EXTRACAD,171608700.0,389588
202010,PR,BOLSA FAMILIA,117100737.0,413402
202010,PR,CADUNICO,162534300.0,487698
202010,PR,EXTRACAD,842167384.0,1735813
202010,RJ,BOLSA FAMILIA,287085936.0,992590
202010,RJ,CADUNICO,162093000.0,464180
202010,RJ,EXTRACAD,1550390000.0,3263198
202010,RN,BOLSA FAMILIA,117635659.0,457115
202010,RN,CADUNICO,55583700.0,170473
202010,RN,EXTRACAD,199652700.0,439256
202010,RO,BOLSA FAMILIA,29158955.0,99137
202010,RO,CADUNICO,32472300.0,97601
202010,RO,EXTRACAD,146375700.0,302204
202010,RR,BOLSA FAMILIA,14463271.0,55864
202010,RR,CADUNICO,9894000.0,28158
202010,RR,EXTRACAD,52292100.0,104636
202010,RS,BOLSA FAMILIA,125270939.0,388931
202010,RS,CADUNICO,98523600.0,287337
202010,RS,EXTRACAD,794552690.0,1637931
202010,SC,BOLSA FAMILIA,37955688.0,128776
202010,SC,CADUNICO,46394700.0,135700
202010,SC,EXTRACAD,557864500.0,1124290
202010,SE,BOLSA FAMILIA,91881207.0,333678
202010,SE,CADUNICO,36752700.0,109999
202010,SE,EXTRACAD,122810700.0,276632
202010,SP,BOLSA FAMILIA,481975450.0,1634945
202010,SP,CADUNICO,480875400.0,1389868
202010,SP,EXTRACAD,3637820100.0,7505056
202010,TO,BOLSA FAMILIA,36588043.0,138010
202010,TO,CADUNICO,30656400.0,93531
202010,TO,EXTRACAD,90287600.0,196755
202011,AC,BOLSA FAMILIA,23553221.0,108578
202011,AC,CADUNICO,16097100.0,47559
202011,AC,EXTRACAD,73236600.0,190470
