mes_ref,uf,valor_bolsa_familia,valor_cadunico,valor_extracad,qtd_bolsa_familia,qtd_cadunico,qtd_extracad,total_forca_trabalho,forca_trabalho_descoupada,forca_conta_propria,forca_privado,forca_publico,forca_empregador,forca_domestico,forca_auxiliar
202010,AL,124965279.0,43890900.0,183451771.0,471668,130850,406181,1274,260,239,453,205,33,58,27
202010,AM,121190415.0,50051400.0,304962900.0,478585,144531,640685,1878,295,534,546,242,39,61,161
202010,AP,23572649.0,13393800.0,64545900.0,83970,36791,139286,371,59,114,90,78,9,13,8
202010,BA,571180782.0,234508800.0,849380600.0,2229402,708559,1898455,6614,1372,1553,2300,738,177,291,184
202010,CE,354931895.0,154300800.0,479845500.0,1394254,472049,1076303,3858,558,982,1471,430,130,192,95
202010,DF,26268870.0,15936300.0,251104200.0,84247,44408,516691,1625,235,273,638,321,69,76,11
202010,ES,61966699.0,56666400.0,329271900.0,226841,172568,682958,2099,282,487,853,233,86,76,83
202010,GO,99405896.0,95101800.0,607779900.0,318948,277649,1258080,3580,456,803,1599,379,142,184,18
202010,MA,277027833.0,92192100.0,341653500.0,1071941,276174,785161,2502,365,716,817,354,53,142,55
202010,MG,322904919.0,276643200.0,1478909800.0,1211133,837600,3130272,10785,1344,2309,4601,1227,444,624,236
202010,MS,38683321.0,47807700.0,201128100.0,131544,140973,410686,1354,129,279,573,194,68,92,19
202010,MT,50251906.0,59186400.0,278708700.0,162292,174136,568863,1851,197,443,801,215,67,88,39
202010,PA,304151653.0,138984300.0,524314500.0,1138805,411844,1156254,3839,420,1046,1395,508,122,172,176
202010,PB,156478123.0,53855700.0,208186500.0,638845,163480,468445,1615,254,448,476,288,45,77,27
202010,PE,377612522.0,152822100.0,550952400.0,1378598,457659,1227342,3996,775,1009,1457,430,119,156,50
202010,PI,134353976.0,46184100.0,171608700.0,567611,140606,389588,1366,167,386,443,190,38,79,64
202010,PR,117100737.0,162534300.0,842167384.0,413402,487698,1735813,6040,608,1348,2657,703,323,267,135
202010,RJ,287085936.0,162093000.0,1550390000.0,992590,464180,3263198,8360,1641,1861,3111,1107,246,368,25
202010,RN,117635659.0,55583700.0,199652700.0,457115,170473,439256,1507,235,358,539,227,54,70,24
202010,RO,29158955.0,32472300.0,146375700.0,99137,97601,302204,845,94,243,310,108,27,33,31
202010,RR,14463271.0,9894000.0,52292100.0,55864,28158,104636,246,36,62,68,51,5,19,5
202010,RS,125270939.0,98523600.0,794552690.0,388931,287337,1637931,5863,507,1381,2570,658,301,269,177
202010,SC,37955688.0,46394700.0,557864500.0,128776,135700,1124290,3790,204,875,1916,384,196,130,85
202010,SE,91881207.0,36752700.0,122810700.0,333678,109999,276632,1056,193,259,378,123,42,31,30
202010,SP,481975450.0,480875400.0,3637820100.0,1634945,1389868,7505056,24246,3589,4670,11723,2058,981,1044,182
202010,TO,36588043.0,30656400.0,90287600.0,138010,93531,196755,719,81,174,224,160,23,38,19
202011,AC,23553221.0,16097100.0,73236600.0,108578,47559,190470,358,57,96,106,68,10,15,7
202011,AL,122993829.0,70542900.0,244187400.0,466311,210462,645914,1274,260,239,453,205,33,58,27
202011,AM,119925415.0,80082300.0,397990800.0,475097,231425,1013165,1878,295,534,546,242,39,61,161
202011,AP,23364936.0,21308400.0,86562300.0,83475,58597,221579,371,59,114,90,78,9,13,8
202011,BA,564033608.0,377702400.0,1140169500.0,2208441,1141117,3038456,6614,1372,1553,2300,738,177,291,184
202011,CE,351536162.0,247899880.0,639961200.0,1385242,758155,1718489,3858,558,982,1471,430,130,192,95
202011,DF,25880543.0,25560000.0,330034500.0,83294,71173,815441,1625,235,273,638,321,69,76,11
202011,ES,60898947.0,90579000.0,428748800.0,224045,275577,1082192,2099,282,487,853,233,86,76,83
202011,GO,97786205.0,150576900.0,787313400.0,315045,439396,1977740,3580,456,803,1599,379,142,184,18
202011,MA,273146212.0,145949400.0,459358200.0,1061142,437256,1238581,2502,365,716,817,354,53,142,55
202011,MG,317889323.0,439933500.0,1930546000.0,1197734,1331694,4943073,10785,1344,2309,4601,1227,444,624,236
202011,MS,37896925.0,76521300.0,265483800.0,129725,225208,650843,1354,129,279,573,194,68,92,19
202011,MT,49135126.0,93557100.0,362871900.0,159886,274920,890353,1851,197,443,801,215,67,88,39
202011,PA,298162635.0,221595600.0,697698900.0,1119154,656298,1827889,3839,420,1046,1395,508,122,172,176
202011,PB,155032663.0,86512800.0,277656940.0,634207,262657,747134,1615,254,448,476,288,45,77,27
202011,PE,373440582.0,246431100.0,740708700.0,1367162,738187,1962672,3996,775,1009,1457,430,119,156,50
202011,PI,132982268.0,74389500.0,231074400.0,563533,226215,620897,1366,167,386,443,190,38,79,64
202011,PR,114143547.0,257550240.0,1088899500.0,406974,772111,2724577,6040,608,1348,2657,703,323,267,135
202011,RJ,283335258.0,259715700.0,2032762300.0,982787,743603,5216026,8360,1641,1861,3111,1107,246,368,25
202011,RN,116300038.0,89304900.0,265401000.0,453578,273878,697570,1507,235,358,539,227,54,70,24
202011,RO,28750469.0,51384300.0,192455700.0,98256,154292,477481,845,94,243,310,108,27,33,31
202011,RR,14196126.0,15879000.0,69468900.0,55213,45210,166345,246,36,62,68,51,5,19,5
202011,RS,122243835.0,158531320.0,1059509560.0,383448,460018,2589385,5863,507,1381,2570,658,301,269,177
202011,SC,36684984.0,73116900.0,723223200.0,125857,213491,1749439,3790,204,875,1916,384,196,130,85
202011,SE,90943590.0,59367000.0,166148100.0,331231,177659,443186,1056,193,259,378,123,42,31,30
202011,SP,472661249.0,768435600.0,4714583400.0,1611356,2220860,11848781,24246,3589,4670,11723,2058,981,1044,182
202011,TO,35991032.0,47962800.0,118241700.0,136509,146341,306034,719,81,174,224,160,23,38,19
202012,AC,23031349.0,16047900.0,63967800.0,106198,47218,187628,358,57,96,106,68,10,15,7
202012,AL,121589959.0,70300500.0,215433000.0,461525,208277,629309,1274,260,239,453,205,33,58,27
202012,AM,117307715.0,81450300.0,346189500.0,466763,234043,1006762,1878,295,534,546,242,39,61,161
202012,AP,23068689.0,21799500.0,76551000.0,82677,59658,221457,371,59,114,90,78,9,13,8
202012,BA,559711925.0,378053700.0,1022613900.0,2186398,1135432,2999906,6614,1372,1553,2300,738,177,291,184
202012,CE,349012179.0,247327500.0,575457900.0,1374536,752560,1698271,3858,558,982,1471,430,130,192,95
202012,DF,25801169.0,26084400.0,294036300.0,82218,72090,813198,1625,235,273,638,321,69,76,11
202012,ES,60735149.0,90434700.0,371732100.0,220995,273868,1065528,2099,282,487,853,233,86,76,83
202012,GO,97344157.0,154663800.0,700508700.0,310960,448448,1987184,3580,456,803,1599,379,142,184,18
202012,MA,273680781.0,153147000.0,422296200.0,1051396,456376,1274649,2502,365,716,817,354,53,142,55
202012,MG,317329462.0,444078300.0,1703481000.0,1182494,1336244,4907787,10785,1344,2309,4601,1227,444,624,236
202012,MS,37338340.0,76293600.0,231118839.0,127553,223717,639082,1354,129,279,573,194,68,92,19
202012,MT,48703569.0,94734000.0,319383600.0,156987,276673,883727,1851,197,443,801,215,67,88,39
202012,PA,295931078.0,226050300.0,619140000.0,1100166,667009,1831190,3839,420,1046,1395,508,122,172,176
202012,PB,153150864.0,85784700.0,245347800.0,628911,258768,729004,1615,254,448,476,288,45,77,27
202012,PE,361755019.0,245812640.0,661644000.0,1354592,732076,1929114,3996,775,1009,1457,430,119,156,50
202012,PI,131749469.0,76065900.0,209946900.0,557855,230073,625890,1366,167,386,443,190,38,79,64
202012,PR,113761998.0,260245800.0,959475000.0,400116,773878,2706893,6040,608,1348,2657,703,323,267,135
202012,RJ,281630782.0,257349900.0,1757324191.0,971106,732742,5062610,8360,1641,1861,3111,1107,246,368,25
202012,RN,115326158.0,88659900.0,236313000.0,449568,269889,683172,1507,235,358,539,227,54,70,24
202012,RO,28584162.0,52365000.0,169789500.0,97232,156315,479152,845,94,243,310,108,27,33,31
202012,RR,13967335.0,16167900.0,58967400.0,54435,45720,166641,246,36,62,68,51,5,19,5
202012,RS,112610326.0,159895500.0,945150860.0,376001,461219,2580540,5863,507,1381,2570,658,301,269,177
202012,SC,35083788.0,74093700.0,639276000.0,122540,214243,1736220,3790,204,875,1916,384,196,130,85
202012,SE,89974793.0,58523700.0,148478220.0,326998,173738,433487,1056,193,259,378,123,42,31,30
202012,SP,471381509.0,764566200.0,4089507570.0,1584958,2200871,11586571,24246,3589,4670,11723,2058,981,1044,182
202012,TO,35765292.0,50355600.0,108293400.0,135166,152392,313198,719,81,174,224,160,23,38,19
